guess,mean q(g),var q(g)
elder,154.26666666666668,39597.49523809524
elect,154.26666666666668,42456.78095238095
elegy,165.28571428571428,48624.68131868132
elfin,165.28571428571428,46692.98901098902
elide,154.26666666666668,35872.49523809524
elite,144.625,30155.316666666666
elope,165.28571428571428,38680.37362637363
elude,165.28571428571428,42577.45054945056
email,144.625,39514.916666666664
embed,154.26666666666668,64815.923809523796
ember,154.26666666666668,54755.06666666667
emcee,192.83333333333334,75493.60606060606
empty,154.26666666666668,50784.92380952381
enact,144.625,33694.25
endow,165.28571428571428,62595.45054945056
enema,165.28571428571428,61160.52747252747
enemy,165.28571428571428,58907.296703296706
enjoy,154.26666666666668,53529.06666666665
ennui,165.28571428571428,74455.6043956044
ensue,165.28571428571428,52208.68131868133
enter,144.625,42639.71666666667
entry,144.625,37038.916666666664
envoy,154.26666666666668,49615.78095238095
epoch,165.28571428571428,51184.06593406593
epoxy,154.26666666666668,52006.49523809522
equal,144.625,51523.583333333336
equip,165.28571428571428,66654.98901098903
erase,154.26666666666668,24459.495238095235
erect,154.26666666666668,35096.066666666666
erode,136.11764705882354,29093.23529411765
error,178.0,49524.0
erupt,144.625,33080.65
essay,165.28571428571428,48910.06593406593
ester,128.55555555555554,37690.84967320261
ether,136.11764705882354,42908.23529411765
ethic,154.26666666666668,57156.63809523808
ethos,144.625,53475.45
etude,165.28571428571428,46653.45054945054
evade,178.0,45826.833333333336
event,165.28571428571428,54159.45054945054
every,154.26666666666668,47022.20952380953
evict,144.625,40206.78333333333
evoke,210.36363636363637,67748.25454545455
exact,154.26666666666668,40299.63809523809
exalt,136.11764705882354,34834.48529411764
excel,154.26666666666668,58657.63809523809
exert,165.28571428571428,49211.14285714287
exile,165.28571428571428,47324.065934065926
exist,165.28571428571428,43549.91208791209
expel,154.26666666666668,61924.78095238095
extol,165.28571428571428,57563.9120879121
extra,144.625,47421.85
exult,144.625,47494.65
eying,144.625,51667.05
fable,144.625,29383.983333333334
facet,165.28571428571428,30110.83516483516
faint,136.11764705882354,32415.86029411765
fairy,136.11764705882354,34218.23529411764
faith,154.26666666666668,39360.20952380953
false,136.11764705882354,25089.110294117647
fancy,144.625,41889.05
fanny,165.28571428571428,59474.06593406593
farce,128.55555555555554,23335.908496732023
fatal,154.26666666666668,48049.780952380956
fatty,154.26666666666668,52764.066666666666
fault,144.625,37105.05
fauna,154.26666666666668,59799.20952380951
favor,154.26666666666668,43718.49523809524
feast,128.55555555555554,27083.67320261438
fecal,144.625,38695.183333333334
feign,144.625,40903.98333333333
fella,165.28571428571428,46938.68131868132
felon,154.26666666666668,41883.63809523809
femme,192.83333333333334,90758.51515151515
femur,136.11764705882354,43777.98529411764
fence,165.28571428571428,48922.835164835175
feral,136.11764705882354,31542.235294117647
ferry,144.625,40104.78333333333
fetal,121.78947368421052,33706.28654970759
fetch,136.11764705882354,43550.48529411764
fetid,165.28571428571428,41910.83516483517
fetus,154.26666666666668,43965.780952380956
fever,136.11764705882354,48414.610294117636
fewer,144.625,49032.916666666664
fiber,121.78947368421052,35069.84210526315
fibre,136.11764705882354,32313.235294117647
ficus,165.28571428571428,64639.604395604394
field,144.625,39931.98333333333
fiend,154.26666666666668,40677.49523809524
fiery,136.11764705882354,32176.98529411765
fifth,154.26666666666668,72438.92380952381
fifty,165.28571428571428,68772.37362637364
fight,128.55555555555554,53002.61437908497
filer,121.78947368421052,31925.286549707598
filet,128.55555555555554,29729.320261437904
filly,154.26666666666668,66615.06666666667
filmy,154.26666666666668,55948.638095238086
filth,154.26666666666668,51327.78095238096
final,154.26666666666668,42217.92380952381
finch,144.625,56359.183333333334
finer,128.55555555555554,32148.732026143793
first,154.26666666666668,38167.20952380953
fishy,154.26666666666668,55515.066666666666
fixer,128.55555555555554,39731.08496732026
fizzy,178.0,120810.33333333333
fjord,165.28571428571428,64699.45054945056
flack,144.625,46366.916666666664
flail,154.26666666666668,49067.78095238095
flair,128.55555555555554,33735.7908496732
flake,144.625,30155.583333333332
flaky,136.11764705882354,43257.73529411765
flame,136.11764705882354,27627.23529411765
flank,154.26666666666668,45258.49523809523
flare,136.11764705882354,21367.985294117647
flash,136.11764705882354,38614.61029411765
flask,144.625,42917.45
fleck,154.26666666666668,48332.209523809535
fleet,154.26666666666668,38724.49523809524
flesh,144.625,40691.183333333334
flick,136.11764705882354,53237.23529411764
flier,128.55555555555554,28955.673202614376
fling,154.26666666666668,52536.066666666666
flint,154.26666666666668,39479.066666666666
flirt,144.625,36837.98333333333
float,128.55555555555554,32534.732026143785
flock,144.625,53966.38333333333
flood,154.26666666666668,64622.923809523796
floor,154.26666666666668,50926.49523809523
flora,136.11764705882354,38862.98529411765
floss,154.26666666666668,59634.06666666666
flour,136.11764705882354,41629.98529411765
flout,144.625,41311.583333333336
flown,154.26666666666668,55760.92380952382
fluff,192.83333333333334,128055.96969696968
fluid,154.26666666666668,54093.92380952381
fluke,144.625,39674.38333333333
flume,136.11764705882354,35982.23529411765
flung,154.26666666666668,61118.78095238095
